id,text,label
80,Rất ok với giá tiền nha,1
81,"Đóng gói cẩn thận, giao hàng nhanh chóng, áo giá rẻ, đầy đủ khoá túi, phù hợp giá tiền, size chuẩn, thanks",1
82,Time giao hàng lâu nhưng hàng quá ưng ý cug ko sao,1
83,Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh cảm ơn shop sẽ ủng hộ shop dài dài,1
84,Len kiểu dáng rất đẹp và sang,1
85,Áo bao đẹp luôn xinh quá trời shop cũng nhiệt tình tư vấn nữa,1
86,Đóng gói chưa kĩ,1
87,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh ^-^,1
88,Vải đẹp. may rộng rãi mặc thoải mái,1
89,Chất vải hơi nóng nhưng đc cái mịn đẹp ít nhăn,1
90,"Vãi mát rất dễ thương,nhưng kimono cần làm thun lưng rộng rãi tý sẽ thoải mái hơn",1
91,"Tùng váy to, dễ di chuyển, giá rẻ hơn nhiều chỗ khác",1
92,Chất lượng sản phẩm tuyệt vời nhưng sao thứ tự các trang sách đóng lộn xộn vậy,1
93,Cứ thấy mấy bạn bảo bị rách gì đấy nhưng đến tay em quần vẫn nguyên vẹn ạ ❤,1
94,Shop uy tín. sẽ tiếp tục ủng hộ. ❤ 5*,1
95,"Áo đẹp,form mặc ôm, Đóng gói sản phẩm rất đẹp và chắc chắn",1
96,Sản phẩm đúng như mô tả .rất đẹp .giao hàng nhanh .👍,1
97,Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền,1
98,"Giày rất đẹp, giống hình. giao hàng rất nhanh",1
99,Bao bọc rất cẩn thận,1
100,Cúc tay bị đóng lệch,1
101,Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,1
102,Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Rất đáng tiền,1
103,Shop Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,1
104,Vải áo sơ mi hơi mỏng nhưng vẫn đẹp nhe,1
105,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,1
106,Mik đặt hàng 2 ngày đã nhận dc r Shop giao đúng mẫu chất liệu vải đẹp ý hình,1
107,"Dép nhận được đúng như mô tả, nhựa dẻo mềm đi rất êm chân, không bị đau hay cấn gót như mấy loại cứng. Dép nhẹ, đế chống trượt tốt nên đi trong nhà hay nhà tắm đều rất tiện. Màu sắc xinh xắn, form dép vừa vặn, không có mùi nhựa nồng. Giá rẻ nhưng chất lượng lại quá ổn, đáng tiền lắm luôn. Shop giao hàng nhanh, đóng gói cẩn thận. Sẽ mua thêm cho người nhà dùng!",1
108,"Áo lên dáng xinh lắm ạ, biết thế đặt luôn hai màu cho đỡ mất công :D",1
109,Nhanh và uy tín lắm nha :),1
110,Shop giao hàng bị vỡ do vận chuyển nhưng đã đồng ý đổi trả cho mình,1
111,Nói túm lại không chê vào đâu đc ạ,1
112,"Nhưng cũng phù hợp với giá tiền, mặc vẫn ok",1
113,Áo đẹp như hình nhé nhận hàng rất ưng ý. chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền. nếu thick nên mua ko cần đắn đo,1
114,Áo chất vải OK ạ Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt,1
115,"Giao hàng cực kì nhanh ^^ Shop dễ thương, phục vụ rất tốt",1
116,Đóng gói sản phẩm rất đẹp và chắc giao hàng nhanh sản phẩm tốt,1
117,Chất liệu được,1
118,Chất lượng rất tốt giao đúng mẫu luôn..lại còn nhanh nữa cho shop 5 sao,1
119,Chất vải dày thích hợp mùa thu đông này,1
120,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Rất đáng tiền,1
121,"Áo đẹp, form ôm, mặc rất dễ thương",1
122,"Nhưng áo này 1 loại hay nhiều size hay sao mà giao mình 2 cái thì cái xanh vừa y rộng rãi, cái hồng chật😂",1
123,"Giao hàng nhanh, chủ shop dễ thương nhiệt tình",1
124,Cứ nghĩ hàng rẻ thì k đẹp nhưng ưng ý quá,1
125,Quần quá đẹp so với giá tiền,1
126,"Chất quần mềm, mặc khá thích lunnn ~ lần sau sẽ ủng hộ shop típ nà ~",1
127,Đã nhận đc hàng và khá ưng vs sp,1
128,Váy đẹp lắm shop ơi,1
129,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh. rất ưng ý sản phẩm của shop,1
130,Giao hàng hơi lâu Đóng gói sản phẩm rất đẹp và chắc chắn,1
131,Thái độ của shop rất tốt nên vẫn cho 5 sao,1
132,Vải ok ma quá rộg lun,1
133,Áo xinh 😍😍😍,1
134,"Sp gói dẹp, chắc chắn, sp xai ok",1
135,Shop up hinh ít quá nhận hàng chỉ có vài cái,1
136,Chất lượng sản phẩm tuyệt vời dep y hinh 👍👍👍,1
137,"Vải dày dặn, rất đẹp",1
138,Hoi kho uống .nhug chat lượng tốt.cho 5 sao,1
139,Shop uy tin giao đung voi giá tiền,1
140,Ben vận chuyển giao hang nhanh,1
141,Chọn cay vừa mà chắc shop nhầm thành cay nhiều :)) nhưng đc cái ngon,1
142,Giày đẹp đóng gói tốt 😍😍,1
143,Thế này lại phải mua thường xuyên rồi,1
144,"Sữa thì ko bàn, 4 cái ly ko đc 4 ng trong gđ, 2con trai và 2 ôg bố, mà ly đẹp nên 5sao",1
145,Áo mỏng mặc mát không bị bí do lỗ thoáng khí thưa. Có 2 túi bên trong túi bên ngoài có khoá kéo. Áo kéo hết cỡ che đc kín mặt Hàng made in VietNam,1
146,Áo cũng đẹp chỉ là hơi bé chút,1
147,"Chất lượng sản phẩm tuyệt vời, kết chất vải dày dặn và in hình nổi :) mình chụp chắc hơi dìm hàng so vs bên ngoài",1
148,Chất lượng tốt.giá ok đươc cai shop cung rât nhiệt tình,1
149,Chất lượng sản phẩm tương đối.shop chuẩn bị hàng nhanh.bên giao cũng nhanh.2ngày là nhận đc hàng,1
150,Áo đẹp ^^,1
151,"Tuyệt vời từ giá cả tới khuyến mãi , cách đóng gói và vận chuyển",1
152,Áo hơi mỏng nhưng cũng ok,1
153,Hàng đúng đẹp,1
154,Sp date mới,1
155,Sản phẩm tốt 👍👍👍,1
156,"Mình dự định đặt hàng bướm chữ Y theo hình số 1 những shop gửi bướm chữ x, chắc do mình nhầm nhưng cũng ko có gì complain, Chất lượng sản phẩm tuyệt vời, dây áo ngực mặc rất chắc chắn, có mút nâng",1
157,Là nét.có 10 sao cũng cho luôn,1
158,Rất đẹp đóng gói kỹ lưỡng vô cùng hài lòng Thời gian giao hàng rất nhanh,1
159,Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,1
160,"Sản phẩm dùng rất tốt y như hình, mn nên mua nha. hình ảnh mang tính chất nhận xu thôi ạ",1
161,Chất lượng sản phẩm tuyệt vời Rất đáng tiền Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,1
162,"Áo đẹp, sẽ tiếp tục ủng hộ",1
163,"Khi thấy cái váy này, mình đã quyết tâm giảm 14 kí, để được mặc em nó, sau 4 tháng thì mọi quyết tâm của mình đã thành công, fai nói là siêu sung sướng khi khoác lên mình cái váy quá dễ thương như vậy, vải mặc mát, thoải mái và rất đẹp, nhìn cưng kinh khủng, chủ shop lại quá đáng iu, cho 10 sao luôn",1
164,Áo chất đẹp mặc ôm dáng,1
165,"Áo cực đẹp, nhé vải ko dày lắm đâu nên mình nghĩ vẫn mặc trong mùa hè đc, cơ mà lần sau em mua shop đừng gọi mẹ em nhé :))))",1
166,Dep y hinh.,1
167,Đóng gói sản phẩm rất đẹp và chắc chắnÁo forrm to đẹp chất đẹp,1
168,Đồ shop khá ok,1
169,"Áo đẹp , sp tốt",1
170,Chất lượng sản phẩm tuyệt vời dày hơn chút nữa sẽ ok hơn,1
171,"Chất len dày dặn, đẹp",1
172,Áo đẹp lắm b ơi,1
173,"Chất vải dày, quá tốt so vs giá tiền",1
174,"Chất son khá mướt, so dùng rất thích",1
175,Quần dễ thương chất đẹp và mềm,1
176,"Với giá thành như vại là quá hời nha mọi người , giao hàng siêu nhanh, chủ shop dễ thương, tư vấn nhiệt tình, ủng hộ shop dài dài nha, còn đắn do chi nữa , nên mua và nên mua nữa",1
177,Chất lượng sản phẩm tuyệt vời nhưng có điều vải hơi mỏng,1
178,Shop phục vụ rất tốt.Chất lượng sản phẩm tốt,1
179,Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Cảm ơn shop nha,1
180,"Áo chất đẹp, hàng nhận giống hình, shop nhiệt tình😍 nếu có cơ hội sẽ tiếp tục ủng hộ trong tương lai",1
181,Mặc thử thấy rất nhẹ và mát,1
182,"Giao hàng nhanh, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn",1
183,Đầm mặc đẹp lắm ạ,1
184,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Shop phục vụ rất tốt,1
185,Vẫn ưng như ngày đầu Chất lượng sản phẩm tuyệt vời Rất đáng tiền,1
186,"Áo dáng basic rất dễ mặc 👍 vải mỏng hơn mình nghĩ nhưng mình đã giặt máy mà áo vẫn rất tốt, không bị nhão hay giãn",1
187,"Giao hàng siêu nhanh, tư vấn rõ ràng",1
188,Chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh.shop tư vấn rất nhiệt tình,1
189,Excellent packaging...a little bit overkill but very well packed,1
190,Quần lên from chuẩn rất đẹp,1
191,"Áo đẹp, chất thun đẹp, đường may cũng đẹp",1
192,"Chất vải đẹp, có giản thoải mái, chuẩn form, mắc lui 1 size nhé, mìnhv27 mắc 26 ạ",1
193,Mặc thu đông ok,1
194,Chất lượng sản phẩm tuyệt vời :) hàng đẹp dao hàng nhanh,1
195,Shop rút kinh nghiệm nhé,1
196,Quà rất dễ thương :),1
197,Chân váy co giãn cực tốt,1
198,Giá tốt nhưng chỗ mình sóng yếu ko có 4G,1
199,Đóng gói sản phẩm rất đẹp và chắc chắn hơi cộc so voi chiều cao của mh,1
200,"Gối êm, đẹp, Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh",1
201,Shop phục vụ rất tốt Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,1
202,Hàng đẹp giao hàng nhanh shop nhiệt tình dễ thương lắm,1
203,Áo đẹp ctrai mặc ok,1
204,Thích áo nhưng thích chi chủ tư vấn là chính hêhhe quá nhiệt tình,1
205,"Áo đẹp , chất liệu oke , mặc in ng Chất lượng sản phẩm tuyệt vời",1
206,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh,1
207,"Lúc đầu thích màu cam nhưng phân loại báo hết nên mình đặt xanh, ko ngờ khi nhận hàng lại nhận đc bộ màu cam, cảm thấy thích lắm, áo thun mát lạnh quần thô siêu nhẹ đáng 5*",1
208,Màu sắc đúng như hình,1
209,"Size cho người <65kg nhưng tay ngắn và nhỏ, hợp với các bạn tầm 55kg mặc sẽ đẹp hơn",1
210,Mặc rất đẹp Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền,1
211,Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh,1
212,Thanks shop nhiều 😘,1
213,Hết hàng nên mình nhận áo khoác len dạng dây kéo,1
214,Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,1
215,"Giầy đúng với hình, đi vừa chân, mình hài lòng",1
216,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. còn nhận được quà. rất cám ơn shop!!,1
217,"Shop giao hàng nhanh ,đóng gói cẩn thận , rất thích cách shop tư vấn quan tâm khách hàng ạ :)",1
218,Giao hàng nhanh...chất lượng sản phẩm tốt,1
219,Chủ shop rất nhiệt tình. giao hàng nhanh,1
220,Thực sự cầm áo trên tay không tin nổi mình mua cái áo với giá chỉ 125k,1
221,Thời gian giao hàng chậm Chất lượng sản phẩm tạm được,1
222,Dong goi rất ky vs chat luong de thuong chat da kug dx,1
223,Còn chất vải thì khỏi bàn ạ,1
224,"Chất lượng sản phẩm tuyệt vời, anh chủ tiệm hướng dẫn tận tình, Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh, đug như đã ns giao trước 1 ngày",1
225,"4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn",1
226,"Sp tạp được, Đóng gói sản phẩm rất đẹp và chắc chắn",1
227,Áo chất siêu đẹp màu cũng ưng luôn,1
228,"Giao đúng mẫu, vải đẹp",1
229,"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt, sách học rất hay",1
230,Nếu thiết kế cao thêm 3cm sẽ rất vừa với body của nikon,1
231,"Dao sắc, nhỏ gọn, tiện lợi, dễ mang theo",1
232,Cảm thấy ưng cái bụng ghê gớm ý,1
233,Chất cũng ổn nhưng Quần hơi bé,1
234,Thời gian giao hàng cũng nhanh nữa,1
235,"Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh",1
236,Váy siêu đẹp luôn ạ ❤ mỗi tội mặc hơi chật một chút 😭,1
237,"Áo dày dặn, vải và hình in rất đẹp",1
238,"Màu áo đẹp, chuẩn hình",1
239,Giao hàng nhanh ❤giá cả phải chăng,1
240,"Chất lượng oki cực kỳ ạ, giao hàng nhanh <3",1
241,Cay vừa phải,1
242,"Đóng gói sản phẩm rất đẹp và chắc chắn, áo nỉ thật, mềm mịn, mặc rất sướng",1
243,Giày đẹp rất hài lòng,1
244,Rất đáng tiền lại kèm thêm quà xinh nữa,1
245,Áo đẹp cực kì luôn ý,1
246,Ao đẹp như ý Chất lượng sản phẩm tuyệt vời,1
247,Đáng đồng tiền Thời gian giao hàng nhanh Đóng gói sản phẩm chắc chắn Chất lượng sản phẩm tốt,1
248,Sản phẩm thì OK vải dày và cũng im,1
249,"Giao hàng rất nhanh tại TpHCM,4h kể từ lúc đặt",1
250,"Áo rất đẹp , tuyệt vời 😘",1
251,Quần này mình không được mặc vẫn gửi tặng shop 5 sao vì tinh thần trách nhiệm,1
252,"Ao xinh, dai hon xiu nua se dep hon do shop 😀",1
253,Đóng gói sản phẩm chắc chắn Đáng đồng tiền,1
254,Áo đẹp y hình ❤️,1
255,Shop nhiệt tình dễ thương thân thiện với khách,1
256,"Sản phẩm đẹp ,ổn .chắc chắn mà lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy",1
257,Gậy này đặt dọc điện thoại được. cho 5 sao,1
258,Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời .Shop phục vụ rất tốt👍👍👍👍,1
259,Mà giá lại rẻ bất ngờ,1
260,Đẹp lắm ạ ::))),1
261,Form quần xinh lắm ạ,1
262,"Chất đẹp, bà chủ nhiệt tình dễ thương",1
263,Thời gian vận chuyển rất nhanh,1
264,"1 áo bị rách 1 lỗ, 1 áo giao ko đúng hàng",1
265,Chúc c luôn đắt hàng,1
266,Form và chất liệu váy đẹp.Rất đáng tiền,1
267,"Vải dày dặn, đẹp i như hình luôn í",1
268,"Quần đẹp, chất đẹp Chất lượng sản phẩm tuyệt vời",1
269,Mún mua nữa,1
270,Áo đẹp mặc mát thông gió tốt cao m69 nặng 47kg mặc size L vừa đẹp màu sáng đẹp giá cả hợp lí,1
271,Phục vụ rất tốt,1
272,Áo dùng ok,1
273,"Quần mặc lên from bao đẹp, người em hơi mập nhưng mặc lên lại không mập mà nhìn dễ thương lắm luôn, phải chi giặt được bằng máy nữa là perfect rồi, nhưng với cái giá này cũng quá ổn cho một em quần xinh rồi ^^",1
274,Form cũng ko rộng lắm đâu n áo đẹp,1
275,"Chất lượng sản phẩm tuyệt vời , ao đẹp , đúng như hình , nhưng phí vận chuyển cao gần bằng cái áo .... . mua 2 mau gio mua them 2 cai nua",1
276,Áo đẹp lắm mình rất thích,1
277,"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,chất vải rất tốt mình rất thích",1
278,"Cùng loại với áo mình từng mua nhưng vải mỏng hơn, ko ấm bằng",1
279,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,1
280,Ủng hộ hết tiền luôn hehe,1
281,Phù hợp với giá tiền <3,1
282,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Rất đáng tiền,1
283,Quần hơi rộng nhưg cũng dc 5*,1
284,Hàng giống y hình Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh,1
285,Nhưng mà áo cũng đẹp,1
286,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn hàng dep,1
287,Hàng OK nhé giao hàng nhanh,1
288,*Áo thun mịn,1
289,Đẹp toẹt vời lun sh,1
290,Son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 Rất đáng tiền,1
291,Đẹp khỏi bàn,1
292,"Chất lượng sản phẩm tuyệt vời , Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền , Thời gian giao hàng nhanh hơn dự định 💝",1
293,"Sản phẩm đúng như quảng cáo, shop Giao Hàng Nhanh uy tín, lại được shopee miễn ship, sẽ ủng hộ tiếp thôi",1
294,Đúng mẫu đúng size,1
295,"Shop bán đồ ổn nhưng giao lộn size , đặt m giao xl",1
296,Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1,1
297,Nhưng chất liệu vải thì ok,1
298,"Áo đẹp, ưng lắm, nhưng chắc dạng này may form rộng",1
299,"Giao nhanh, non rat dep, dong goi rat ky, minh rat hai long va se tiep tuc ung ho shop",1
300,"Thời gian giao hàng rất nhanh, vải mỏng hơn mong đợi",1
301,"Đặt còn lăn tăn bảo rẻ sợ chất k đẹp, nhưng khi nhận được hàng thật sự k ngờ, váy len có 40k mà dày sụ, áo chocker 39k mà chất siêu đẹp. nchung mình rất ưng",1
302,"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, lần đầu dặt hàng thì được lần sau ko hài lòng",1
303,"Quần mát, mặc thoải mái như ko mặc",1
304,Mũ y hình ạ ❤️,1
305,Thích e áo len nhứt ạ,1
306,Áo trắng bé áo lưới nhỏ nhưng nhìn chung hàng ok,1
307,Rẻ mà đẹp,1
308,"Áo đẹp,y hình 😻😻",1
309,Áo siêu đẹp nghen!,1
310,"Chất vải đẹp, Áo sọc ngang màu có hơi nhạt hơn một chút nhưng chất liệu rất dày dặn",1
311,Đẹp lắm shop...rất ưng ý😘😘😘,1
312,N chưa thử nên kb lên ng đẹp ko nữa,1
313,Mình thích mẫu áo này,1
314,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.thanks shop,1
315,Lần đầu tiên mua quần trên shopee mà ưng đến vậy,1
316,Chất vải thì ok nhưng Cổ áo quá cao nên khá khó mặc,1
317,Quá đẹp từ chất đến form ạ,1
318,Đúng với giá khi sale 149k,1
319,Thời gian giao hàng nhanh Shop phục vụ khá tốt Đóng gói sản phẩm chắc chắn,1
